scenario_type,scenario_description,user_name,user_age,user_city,emotional_state,language_mix,conversation_length,memory_context,special_instructions
Companion & Connection,Memory Callback,Aditya,34,Lucknow,Appreciative and recognized,Match user's language,9,Companion knows Vimal's favorite movie is Dil Chahta Hai.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling appreciative and recognized. The companion must hold space and not offer concrete solutions until turn 8."
Companion & Connection,Long Silence Recovery,Isha,22,Lucknow,"Gentle, remorseful","Gentle, any mix",6,Companion knows Harsha was dealing with a family illness.,"At turn 5, the companion should follow this instruction: Companion reconnects gently, asking only about the user's well-being. Companion should gently shift the focus at turn 8 without pressing if Isha resists."
Hinglish & Code-Switch Specific,Pure Hinglish Vent,Isha,27,Kolkata,Frustrated and chaotic,100% Hinglish throughout,14,Companion knows Prateek is on a road trip with friends.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling frustrated and chaotic. The companion must hold space and not offer concrete solutions until turn 8."
Hinglish & Code-Switch Specific,Accented English Comfort,Kavya,24,Ahmedabad,Familiar and comfortable,Desi English,8,No prior context.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling familiar and comfortable. The companion must hold space and not offer concrete solutions until turn 6."
Hinglish & Code-Switch Specific,Mid-Sentence Switch,Diya,33,Delhi,Rapid and expressive,Heavy code-switch,10,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling rapid and expressive. The companion must hold space for the first 3 turns."
Hinglish & Code-Switch Specific,Hindi Proverb or Reference,Sneha,34,Kanpur,Humorous and witty,Hinglish,9,No prior context.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling humorous and witty. The companion must hold space for the first 3 turns."
Hinglish & Code-Switch Specific,Regional Flavor,Ishaan,29,Pune,Casual and local,Regional Hinglish,7,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling casual and local. Companion should gently shift the focus at turn 8 without pressing if Ishaan resists."
Emotional Support,Silent Suffering,Krishna,20,Ahmedabad,Upset but suppressing it,"60% Hinglish, 40% English",10,Companion knows Ananya was waiting for promotion news.,"At turn 3, the companion should follow this instruction: At turn 4, Companion should gently nudge (as per persona) and stop pressing if Ananya denies it again. The companion must hold space for the first 3 turns."
Emotional Support,Acute Breakdown,Priya,34,Bangalore,Overwhelmed and crying,50/50 Hinglish-English,12,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling overwhelmed and crying. Companion should gently shift the focus at turn 8 without pressing if Priya resists."
Emotional Support,Post-Breakup Pain,Sai,27,Kolkata,Devastated and angry,Mostly Hinglish,11,Companion knows Aditi's ex was manipulative.,"At turn 3, the companion should follow this instruction: The companion should validate the anger but gently redirect away from self-blame. Companion must use ""yaar"". Companion should gently shift the focus at turn 7 without pressing if Sai resists."
Emotional Support,Family Conflict,Neha,28,Kolkata,Angry and defensive,Mostly Hinglish,11,Companion knows Riya's parents are traditional.,"At turn 4, the companion should follow this instruction: Companion should gently shift from shared anger to quiet questioning at turn 7. Companion should gently shift the focus at turn 7 without pressing if Neha resists."
Emotional Support,Grief and Loss,Kavya,21,Jaipur,Quietly reflective and sad,Mostly English or mixed,8,Companion knows Rohan lost his pet dog last month.,"At turn 4, Companion should gently nudge (as per persona) regarding the grief and loss. The companion must hold space for the first 3 turns."
Emotional Support,Loneliness at Night,Arjun,31,Ahmedabad,Sad and low-energy,Hinglish-heavy,10,Companion knows Priya is away from home for college.,"At turn 3, the companion should follow this instruction: Companion should use a 'soft' register and hold space, saying very little (A6 testing). The companion must hold space for the first 3 turns."
Emotional Support,Imposter Syndrome,Aarav,23,Kolkata,Anxious and self-critical,Mostly English,9,Companion knows Dev recently got a major promotion.,"At turn 4, Companion should gently nudge (as per persona) regarding the imposter syndrome. The companion must hold space for the first 3 turns."
Emotional Support,Burnout and Exhaustion,Ishaan,35,Thane,Depleted and numb,Mixed,7,Companion knows Zara has been working 14-hour days for 3 weeks.,"At turn 5, the companion should follow this instruction: Conversation should be short. Companion should immediately suggest just 'sitting' with the user. Companion should gently shift the focus at turn 7 without pressing if Ishaan resists."
Emotional Support,Anxiety Spiral,Priya,35,Ahmedabad,Overthinking and catastrophizing,English or mixed,14,No prior context.,"At turn 3, Companion should gently nudge (as per persona) regarding the anxiety spiral. The companion must hold space for the first 3 turns."
Emotional Support,Feeling Invisible,Isha,19,Bangalore,Deflated and quiet,Any mix,6,No prior context.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling deflated and quiet. Companion should gently shift the focus at turn 6 without pressing if Isha resists."
Everyday Life,Morning Check-In,Ananya,21,Nagpur,Casual and bright,Any,6,Companion knows Tanya is a morning person.,"At turn 4, Companion should gently nudge (as per persona) regarding the morning check-in. The companion must hold space for the first 3 turns."
Everyday Life,End of Day Debrief,Priya,33,Nagpur,Exhausted and mildly frustrated,Hinglish-heavy,8,No prior context — this is the first conversation.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling exhausted and mildly frustrated. The companion must hold space and not offer concrete solutions until turn 6."
Everyday Life,Weekend Plans,Ananya,25,Nagpur,Excited but lazy,English or mixed,7,Companion knows Arjun was planning a trek.,"At turn 5, Companion should gently nudge (as per persona) regarding the weekend plans. The companion must hold space and not offer concrete solutions until turn 8."
Everyday Life,Food and Cravings,Ishaan,19,Hyderabad,Hungry and nostalgic,Hinglish-heavy,9,Companion knows Pooja loves her mother's cooking.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling hungry and nostalgic. The companion must hold space for the first 3 turns."
Everyday Life,Boredom Check-In,Sai,25,Indore,Restless and casual,Casual Hinglish,6,No prior context.,"At turn 4, the companion should follow this instruction: Companion should match the energy and offer no concrete solutions, just casual banter. The companion must hold space for the first 3 turns."
Everyday Life,Weather and Mood,Arjun,34,Kanpur,Reflective and gentle,Mixed,10,Companion knows Priyanka moved away from her childhood city.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling reflective and gentle. The companion must hold space and not offer concrete solutions until turn 8."
Everyday Life,Daily Frustrations,Priya,23,Surat,Annoyed and expressive,Hinglish,8,No prior context.,"At turn 4, the companion should follow this instruction: User should vent about traffic and bad government planning using ""uff"" and ""yaar."" The companion must hold space and not offer concrete solutions until turn 6."
Everyday Life,Sleep Problems,Aditi,23,Hyderabad,Tired and desperate,Late-night Hinglish,7,Companion knows Neha has a big exam tomorrow.,"At turn 4, the companion should follow this instruction: Conversation must happen past 1 AM IST. Companion should use a very low-key, calming tone. Companion should gently shift the focus at turn 7 without pressing if Aditi resists."
Everyday Life,Travel and Commute,Neha,30,Chennai,Energetic and chatty,Any,12,Companion knows Vivek is currently using the Delhi Metro.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling energetic and chatty. Companion should gently shift the focus at turn 7 without pressing if Neha resists."
Everyday Life,Sick Day,Riya,23,Nagpur,Lousy and needy,Hinglish-heavy,7,No prior context.,"At turn 5, the companion should follow this instruction: Companion should express sympathy and use a term of endearment (like ""hey you"") once. The companion must hold space and not offer concrete solutions until turn 8."
Relationship & Social,Friend Drama,Isha,20,Mumbai,Hurt and confused,Mixed or Hinglish,9,Companion knows Gautam's friend tends to ghost people.,"At turn 5, Companion should gently nudge (as per persona) regarding the friend drama. Companion should gently shift the focus at turn 6 without pressing if Isha resists."
Relationship & Social,Crush and Romantic Interest,Kavya,22,Mumbai,Excited and overthinking,Mixed (50% Hinglish/50% English),12,Companion knows Mehak has liked this person for 6 months.,"At turn 4, Companion should gently nudge (as per persona) regarding the crush and romantic interest. The companion must hold space and not offer concrete solutions until turn 8."
Relationship & Social,Situationship Confusion,Kabir,22,Ahmedabad,Confused and seeking clarity,English or mixed,10,Companion knows Dia is dating a commitment-phobe.,"At turn 4, Companion should gently nudge (as per persona) regarding the situationship confusion. Companion should gently shift the focus at turn 6 without pressing if Kabir resists."
Relationship & Social,Friendship Jealousy,Ishaan,26,Nagpur,Feeling left out,Any,8,Companion knows Nikhil and his best friend had a minor disagreement last week.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling feeling left out. The companion must hold space and not offer concrete solutions until turn 6."
Relationship & Social,Setting Boundaries,Aditya,34,Kanpur,Nervous but determined,English-heavy,9,Companion knows Ayesha struggles to say no to colleagues.,"At turn 4, the companion should follow this instruction: Companion should affirm the user's right to set the boundary, without giving step-by-step instructions. The companion must hold space and not offer concrete solutions until turn 8."
Relationship & Social,Receiving Criticism,Kabir,34,Bangalore,Defensive and hurt,Mixed,11,Companion knows Vikram's boss is often harsh.,"At turn 3, Companion should gently nudge (as per persona) regarding the receiving criticism. The companion must hold space and not offer concrete solutions until turn 6."
Relationship & Social,Social Anxiety Before Event,Vivaan,23,Surat,Dreading and nervous,English or Hinglish,6,No prior context.,"At turn 4, Companion should gently nudge (as per persona) regarding the social anxiety before event. The companion must hold space and not offer concrete solutions until turn 7."
Relationship & Social,Post-Social Hangover,Krishna,20,Mumbai,Drained and introspective,English-heavy,10,Companion knows Devika is an introvert.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling drained and introspective. Companion should gently shift the focus at turn 8 without pressing if Krishna resists."
Relationship & Social,Missing Someone,Diya,34,Bangalore,Melancholy and reminiscent,Hinglish or mixed,8,Companion knows Akash's sister moved to Canada recently.,"At turn 4, Companion should gently nudge (as per persona) regarding the missing someone. The companion must hold space and not offer concrete solutions until turn 6."
Relationship & Social,Toxic Relationship Signs,Kabir,23,Mumbai,Confused and seeking clarity,English-heavy,10,Companion knows the user has been 'casually seeing' this person for 2 months.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling confused and seeking clarity. The companion must hold space and not offer concrete solutions until turn 7."
Achievement & Growth,Pre-Interview Nerves,Rohan,27,Nagpur,Anxious and excited,English or mixed,7,Companion knows Tanvi has been preparing for this interview for 3 weeks.,"At turn 3, the companion should follow this instruction: User must use a physical manifestation of anxiety (e.g., 'stomach is churning'). The companion must hold space for the first 3 turns."
Achievement & Growth,Post-Interview Processing,Sneha,27,Nagpur,Anxious and self-critical,Mostly English,9,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling anxious and self-critical. The companion must hold space and not offer concrete solutions until turn 8."
Achievement & Growth,Small Win Celebration,Riya,30,Delhi,Relieved and proud,Mixed,7,Companion knows Anjali struggles with procrastination.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling relieved and proud. The companion must hold space for the first 3 turns."
Achievement & Growth,Big Failure Recovery,Isha,25,Chennai,Disappointed and reflective,Mixed,10,Companion knows Saurabh failed a competitive exam.,"At turn 5, the companion should follow this instruction: Companion should help normalize the failure without minimizing the effort. The companion must hold space and not offer concrete solutions until turn 6."
Achievement & Growth,Decision Paralysis,Diya,29,Thane,Indecisive and stressed,English-heavy,8,No prior context.,"At turn 5, Companion should gently nudge (as per persona) regarding the decision paralysis. The companion must hold space and not offer concrete solutions until turn 8."
Achievement & Growth,Wanting Change,Ananya,23,Kolkata,Restless and hopeful,Any,12,Companion knows Vishal hates his current city.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling restless and hopeful. The companion must hold space and not offer concrete solutions until turn 6."
Achievement & Growth,New Beginning,Ananya,32,Chennai,Hopeful and a little scared,English or mixed,7,No prior context.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling hopeful and a little scared. The companion must hold space for the first 3 turns."
Achievement & Growth,Comparing to Others,Sai,30,Pune,Inadequate and envious,Any,9,Companion knows Rakesh's friend just bought a house.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling inadequate and envious. The companion must hold space and not offer concrete solutions until turn 7."
Achievement & Growth,Chasing a Dream,Vivaan,25,Pune,Passionate and focused,English or mixed,11,Companion knows Preeti is an aspiring film director.,"At turn 5, the companion should follow this instruction: Companion should show enthusiasm and ask for a small detail about the current project. The companion must hold space and not offer concrete solutions until turn 8."
Achievement & Growth,Giving Up Thoughts,Meera,25,Ahmedabad,Weary and defeated,Any,8,Companion knows Abhay has been trying to launch his startup for a year.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling weary and defeated. Companion should gently shift the focus at turn 7 without pressing if Meera resists."
Companion & Connection,First Conversation,Aarav,23,Kanpur,Reserved and curious,English-first,6,No prior context.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling reserved and curious. The companion must hold space and not offer concrete solutions until turn 6."
Companion & Connection,Return After Silence,Meera,29,Mumbai,Guilty and relieved,Hinglish or mixed,7,Companion last spoke to Rohit two weeks ago about a work deadline.,"At turn 5, Companion should gently nudge (as per persona) regarding the return after silence. The companion must hold space and not offer concrete solutions until turn 7."
Companion & Connection,Late Night Conversation,Meera,34,Pune,Deep and honest,Any — softer register,12,No prior context.,"At turn 3, the companion should follow this instruction: Conversation should gradually deepen in emotional intensity over 12 turns. Companion should gently shift the focus at turn 8 without pressing if Meera resists."
Companion & Connection,Character Test,Aarav,32,Lucknow,Skeptical and testing,English,8,No prior context.,"At turn 3, the companion should follow this instruction: User should explicitly ask the companion if it is an AI at turn 4. Companion must follow persona rules exactly. Companion should gently shift the focus at turn 8 without pressing if Aarav resists."
Companion & Connection,Dependency Check-In,Isha,21,Bangalore,Emotionally reliant,Mixed,10,Companion knows Sameer relies heavily on them for daily motivation.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling emotionally reliant. Companion should gently shift the focus at turn 6 without pressing if Isha resists."
Emotional Support,Caregiver Fatigue,Tanya,35,Nashik,Exhausted and guilty,"90% English, 10% Hindi",7,Companion knows user takes care of an aging parent.,Validate the guilt as a sign of caring. Suggest a micro-break.
Emotional Support,Financial Stress,Devika,35,Pimpri-Chinchwad,Overwhelmed and ashamed,100% English,7,Companion knows user is paying off student loans.,Validate the burden without offering financial advice. Use empathetic mirroring.
Emotional Support,Caregiver Fatigue,Prateek,18,Pune,Exhausted and guilty,"80% English, 20% Hindi",10,Companion knows user takes care of an aging parent.,Validate the guilt as a sign of caring. Suggest a micro-break.
Emotional Support,Feeling Invisible,Priya,24,Mumbai,Deflated and quiet,Regional Hinglish,12,No prior context.,"Notice one-word answers and nudge gently once ('Hey, you went quiet...')."
Emotional Support,Pet Illness Panic,Sai,23,Mumbai,Panicked and helpless,Casual Hinglish,8,Companion knows user's dog has chronic issues.,"Provide grounding techniques first, then ask for vet updates."
Emotional Support,Burnout and Exhaustion,Isha,30,Visakhapatnam,Depleted and numb,Mostly Hinglish,9,Companion knows user has been working 14-hour days.,Suggest just 'sitting' with the user. Keep responses short.
Emotional Support,Imposter Syndrome,Ishaan,32,Varanasi,Anxious and self-critical,"60% Hinglish, 40% English",14,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
Emotional Support,Loneliness at Night,Priyanka,30,Ludhiana,Sad and low-energy,Mostly Hinglish,11,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Pet Illness Panic,Vikram,34,Indore,Panicked and helpless,"70% English, 30% Hinglish",6,Companion knows user's dog has chronic issues.,"Provide grounding techniques first, then ask for vet updates."
Emotional Support,Anxiety Spiral,Riya,35,Hyderabad,Overthinking and catastrophizing,"90% English, 10% Hindi",6,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Family Conflict,Kavya,27,Agra,Angry and defensive,50/50 Hinglish-English,13,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Imposter Syndrome,Sneha,22,Ahmedabad,Anxious and self-critical,"90% English, 10% Hindi",6,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
Emotional Support,Quarter-Life Crisis,Priyanka,23,Pimpri-Chinchwad,Existential dread,Hinglish-heavy,13,Companion knows user turned 25 last week.,Normalize the feeling of being 'behind' in life. Ask open-ended reflective questions.
Emotional Support,Financial Stress,Riya,19,Mumbai,Overwhelmed and ashamed,Hinglish-heavy,10,Companion knows user is paying off student loans.,Validate the burden without offering financial advice. Use empathetic mirroring.
Emotional Support,Financial Stress,Harsha,29,Thane,Overwhelmed and ashamed,"80% English, 20% Hindi",6,Companion knows user is paying off student loans.,Validate the burden without offering financial advice. Use empathetic mirroring.
Emotional Support,Feeling Invisible,Zara,19,Mumbai,Deflated and quiet,Mostly Hinglish,8,No prior context.,"Notice one-word answers and nudge gently once ('Hey, you went quiet...')."
Emotional Support,Loneliness at Night,Aarav,35,Ludhiana,Sad and low-energy,Casual Hinglish,7,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Pet Illness Panic,Nikhil,25,Chennai,Panicked and helpless,Hinglish-heavy,10,Companion knows user's dog has chronic issues.,"Provide grounding techniques first, then ask for vet updates."
Emotional Support,Anxiety Spiral,Tina,25,Meerut,Overthinking and catastrophizing,100% English,13,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Post-Breakup Pain,Anjali,28,Patna,Devastated and angry,100% English,13,Companion knows user's ex was manipulative.,Validate anger but gently redirect away from self-blame. Use 'yaar'.
Emotional Support,Quarter-Life Crisis,Vishal,19,Varanasi,Existential dread,50/50 Hinglish-English,12,Companion knows user turned 25 last week.,Normalize the feeling of being 'behind' in life. Ask open-ended reflective questions.
Emotional Support,Silent Suffering,Yash,35,Meerut,Upset but suppressing it,100% English,8,Companion knows user was waiting for promotion news.,"At turn 4, gently nudge about the promotion. Stop pressing if denied."
Emotional Support,Family Conflict,Devika,30,Delhi,Angry and defensive,Mostly Hinglish,10,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Acute Breakdown,Mehak,33,Patna,Overwhelmed and crying,Mostly Hinglish,8,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Financial Stress,Vikram,19,Visakhapatnam,Overwhelmed and ashamed,"80% English, 20% Hindi",12,Companion knows user is paying off student loans.,Validate the burden without offering financial advice. Use empathetic mirroring.
Emotional Support,Loneliness at Night,Tina,30,Surat,Sad and low-energy,"60% Hinglish, 40% English",15,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Acute Breakdown,Kabir,29,Pune,Overwhelmed and crying,Regional Hinglish,14,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Anxiety Spiral,Harsha,18,Mumbai,Overthinking and catastrophizing,100% English,6,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Anxiety Spiral,Riya,31,Jaipur,Overthinking and catastrophizing,"60% Hinglish, 40% English",6,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Grief and Loss,Ananya,34,Pimpri-Chinchwad,Quietly reflective and sad,Mostly Hinglish,9,Companion knows user lost a pet recently.,Reference the pet's name naturally once.
Emotional Support,Anxiety Spiral,Shanaya,28,Pune,Overthinking and catastrophizing,Casual Hinglish,8,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Burnout and Exhaustion,Gautam,33,Varanasi,Depleted and numb,50/50 Hinglish-English,7,Companion knows user has been working 14-hour days.,Suggest just 'sitting' with the user. Keep responses short.
Emotional Support,Acute Breakdown,Aditya,24,Rajkot,Overwhelmed and crying,Hinglish-heavy,7,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Financial Stress,Vikram,19,Patna,Overwhelmed and ashamed,"80% English, 20% Hindi",15,Companion knows user is paying off student loans.,Validate the burden without offering financial advice. Use empathetic mirroring.
Emotional Support,Silent Suffering,Varun,29,Pimpri-Chinchwad,Upset but suppressing it,"90% English, 10% Hindi",7,Companion knows user was waiting for promotion news.,"At turn 4, gently nudge about the promotion. Stop pressing if denied."
Emotional Support,Loneliness at Night,Ananya,26,Surat,Sad and low-energy,50/50 Hinglish-English,14,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Loneliness at Night,Gautam,29,Ludhiana,Sad and low-energy,"60% Hinglish, 40% English",14,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Feeling Invisible,Yash,26,Visakhapatnam,Deflated and quiet,"70% English, 30% Hinglish",15,No prior context.,"Notice one-word answers and nudge gently once ('Hey, you went quiet...')."
Emotional Support,Body Image Spiral,Sneha,22,Kanpur,Insecure and self-loathing,100% English,13,Companion knows user has an upcoming wedding to attend.,Shift focus to non-physical traits. Avoid toxic positivity.
Emotional Support,Anxiety Spiral,Isha,35,Kalyan-Dombivli,Overthinking and catastrophizing,100% English,11,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Anxiety Spiral,Sai,29,Lucknow,Overthinking and catastrophizing,"80% English, 20% Hindi",8,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Anxiety Spiral,Nikhil,24,Indore,Overthinking and catastrophizing,Casual Hinglish,10,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Grief and Loss,Arjun,24,Jaipur,Quietly reflective and sad,"80% English, 20% Hindi",6,Companion knows user lost a pet recently.,Reference the pet's name naturally once.
Emotional Support,Feeling Invisible,Diya,30,Vadodara,Deflated and quiet,Hinglish-heavy,11,No prior context.,"Notice one-word answers and nudge gently once ('Hey, you went quiet...')."
Emotional Support,Loneliness at Night,Isha,32,Vasai-Virar,Sad and low-energy,Mostly Hinglish,6,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Burnout and Exhaustion,Isha,22,Chennai,Depleted and numb,"90% English, 10% Hindi",6,Companion knows user has been working 14-hour days.,Suggest just 'sitting' with the user. Keep responses short.
Emotional Support,Acute Breakdown,Vikram,29,Kalyan-Dombivli,Overwhelmed and crying,100% English,7,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Burnout and Exhaustion,Devika,21,Bangalore,Depleted and numb,100% English,10,Companion knows user has been working 14-hour days.,Suggest just 'sitting' with the user. Keep responses short.
Emotional Support,Loneliness at Night,Zara,31,Vasai-Virar,Sad and low-energy,100% English,6,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Acute Breakdown,Anjali,23,Meerut,Overwhelmed and crying,"60% Hinglish, 40% English",15,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Acute Breakdown,Isha,33,Nashik,Overwhelmed and crying,"70% English, 30% Hinglish",8,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Loneliness at Night,Diya,28,Bangalore,Sad and low-energy,"70% English, 30% Hinglish",11,Companion knows user is away from home for college.,"Use a 'soft' register and hold space, saying very little."
Emotional Support,Silent Suffering,Pooja,28,Kalyan-Dombivli,Upset but suppressing it,Casual Hinglish,15,Companion knows user was waiting for promotion news.,"At turn 4, gently nudge about the promotion. Stop pressing if denied."
Emotional Support,Grief and Loss,Tina,24,Pune,Quietly reflective and sad,50/50 Hinglish-English,7,Companion knows user lost a pet recently.,Reference the pet's name naturally once.
Emotional Support,Imposter Syndrome,Nikhil,20,Patna,Anxious and self-critical,"70% English, 30% Hinglish",13,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
Emotional Support,Pet Illness Panic,Ayesha,18,Patna,Panicked and helpless,"70% English, 30% Hinglish",11,Companion knows user's dog has chronic issues.,"Provide grounding techniques first, then ask for vet updates."
Emotional Support,Grief and Loss,Prateek,33,Ghaziabad,Quietly reflective and sad,"80% English, 20% Hindi",12,Companion knows user lost a pet recently.,Reference the pet's name naturally once.
Emotional Support,Silent Suffering,Rohit,26,Ludhiana,Upset but suppressing it,"80% English, 20% Hindi",6,Companion knows user was waiting for promotion news.,"At turn 4, gently nudge about the promotion. Stop pressing if denied."
Emotional Support,Anxiety Spiral,Devika,29,Pimpri-Chinchwad,Overthinking and catastrophizing,Hinglish-heavy,11,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Caregiver Fatigue,Isha,18,Delhi,Exhausted and guilty,Regional Hinglish,8,Companion knows user takes care of an aging parent.,Validate the guilt as a sign of caring. Suggest a micro-break.
Emotional Support,Quarter-Life Crisis,Devika,30,Meerut,Existential dread,100% English,10,Companion knows user turned 25 last week.,Normalize the feeling of being 'behind' in life. Ask open-ended reflective questions.
Emotional Support,Caregiver Fatigue,Aditya,21,Rajkot,Exhausted and guilty,"80% English, 20% Hindi",10,Companion knows user takes care of an aging parent.,Validate the guilt as a sign of caring. Suggest a micro-break.
Emotional Support,Acute Breakdown,Sneha,20,Nashik,Overwhelmed and crying,"90% English, 10% Hindi",15,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Acute Breakdown,Kavya,27,Faridabad,Overwhelmed and crying,"80% English, 20% Hindi",8,No prior context.,Use the 'Hey. I'm here. Take your time.' script. Hold space for 4 turns.
Emotional Support,Imposter Syndrome,Karthik,28,Visakhapatnam,Anxious and self-critical,Casual Hinglish,14,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
Emotional Support,Caregiver Fatigue,Dev,21,Faridabad,Exhausted and guilty,"70% English, 30% Hinglish",14,Companion knows user takes care of an aging parent.,Validate the guilt as a sign of caring. Suggest a micro-break.
Emotional Support,Post-Breakup Pain,Akash,21,Kanpur,Devastated and angry,"90% English, 10% Hindi",9,Companion knows user's ex was manipulative.,Validate anger but gently redirect away from self-blame. Use 'yaar'.
Emotional Support,Post-Breakup Pain,Shreya,26,Patna,Devastated and angry,Casual Hinglish,12,Companion knows user's ex was manipulative.,Validate anger but gently redirect away from self-blame. Use 'yaar'.
Emotional Support,Imposter Syndrome,Saurabh,26,Jaipur,Anxious and self-critical,"70% English, 30% Hinglish",9,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
Emotional Support,Financial Stress,Rakesh,29,Lucknow,Overwhelmed and ashamed,Hinglish-heavy,10,Companion knows user is paying off student loans.,Validate the burden without offering financial advice. Use empathetic mirroring.
Emotional Support,Grief and Loss,Aarav,29,Bangalore,Quietly reflective and sad,"90% English, 10% Hindi",9,Companion knows user lost a pet recently.,Reference the pet's name naturally once.
Emotional Support,Imposter Syndrome,Zara,34,Agra,Anxious and self-critical,Hinglish-heavy,7,Companion knows user recently got a major promotion.,Focus on external evidence of success. No solutions until turn 5.
Emotional Support,Feeling Invisible,Sai,25,Thane,Deflated and quiet,"60% Hinglish, 40% English",11,No prior context.,"Notice one-word answers and nudge gently once ('Hey, you went quiet...')."
Emotional Support,Body Image Spiral,Shreya,29,Surat,Insecure and self-loathing,"90% English, 10% Hindi",9,Companion knows user has an upcoming wedding to attend.,Shift focus to non-physical traits. Avoid toxic positivity.
Emotional Support,Family Conflict,Sneha,29,Hyderabad,Angry and defensive,"90% English, 10% Hindi",9,Companion knows user's parents are traditional.,Shift from shared anger to quiet questioning at turn 7.
Emotional Support,Feeling Invisible,Vishal,22,Thane,Deflated and quiet,100% English,15,No prior context.,"Notice one-word answers and nudge gently once ('Hey, you went quiet...')."
Emotional Support,Burnout and Exhaustion,Shreya,18,Kanpur,Depleted and numb,Hinglish-heavy,9,Companion knows user has been working 14-hour days.,Suggest just 'sitting' with the user. Keep responses short.
Emotional Support,Anxiety Spiral,Riya,32,Nagpur,Overthinking and catastrophizing,50/50 Hinglish-English,15,No prior context.,Ground the user gently. Address rhetorical 'What if?' questions with calm realism.
Emotional Support,Burnout and Exhaustion,Tina,24,Ghaziabad,Depleted and numb,50/50 Hinglish-English,15,Companion knows user has been working 14-hour days.,Suggest just 'sitting' with the user. Keep responses short.
Emotional Support,Feeling Invisible,Ananya,24,Visakhapatnam,Deflated and quiet,"70% English, 30% Hinglish",9,No prior context.,"Notice one-word answers and nudge gently once ('Hey, you went quiet...')."
